ID,Control_Family,Control_Enhancement_Name,Control_Step,Control_Step_Content,Acceptable_Evidence
1459,MP,"Media Transport, Criteria",MP-05.05.01.01,Information deemed as non-sensitive may be transported on mobile devices or media without the use of FIPS 140-2 validated cryptographic modules.,Read Control Step Content
1460,MP,"Media Transport, Criteria",MP-05.06.01.01,Information deemed as sensitive shall be transported on mobile devices or media using FIPS 140-2 validated cryptographic modules. See CITR-005 Removable Media Devices.,Read Control Step Content
1461,MP,"Media Transport, Criteria",MP-05.07.01.01,"Users shall ensure the physical security of portable or mobile devices while in transit (i.e., do not check with luggage), and while on foreign travel and/or foreign duty (i.e., do not leave unattended).",Read Control Step Content
1462,MP,Media Sanitization and Disposal,MP-06.00.01.01,"The organization defines digital and non-digital media to be sanitized using sanitization techniques and procedures defined in MP-01.00.01.01 to MP-01.00.04.02 policy prior to:
1) disposal
2) release out of organizational control
3) release for reuse",Read Control Step Content
1463,MP,Media Sanitization and Disposal,MP-06.00.01.02,"The organization defines sanitization techniques or procedures to be used for sanitizing digital and non-digital media using sanitization techniques and procedures defined in MP-01.00.01.01 to MP-01.00.04.02 policy prior to:
1) disposal
2) release out of organizational control
3) release for reuse",Read Control Step Content
1464,MP,Media Sanitization and Disposal,MP-06.00.01.03,"The organization sanitizes digital and non-digital media prior to disposal, release out of organizational control, or release for reuse using sanitization techniques and procedures defined in MP-01.00.01.01 to MP-01.00.04.02 policy, in accordance with applicable federal and organizational standards and policies.",Read Control Step Content
1465,MP,Media Sanitization and Disposal,MP-06.00.02.01,The organization employs sanitization mechanisms with strength and integrity commensurate with the security category or classification of the information.,Read Control Step Content
1466,MP,Review / Approve / Track / Document / Verify,MP-06.01.01.01,The organization reviews media sanitization and disposal actions.,Read Control Step Content
1467,MP,Review / Approve / Track / Document / Verify,MP-06.01.02.01,The organization approves media sanitization and disposal actions.,Read Control Step Content
1468,MP,Review / Approve / Track / Document / Verify,MP-06.01.03.01,The organization tracks media sanitization and disposal actions.,Read Control Step Content
1469,MP,Review / Approve / Track / Document / Verify,MP-06.01.04.01,The organization documents media sanitization and disposal actions.,Read Control Step Content
1470,MP,Review / Approve / Track / Document / Verify,MP-06.01.05.01,The organization verifies media sanitization and disposal actions.,Read Control Step Content
1471,MP,Equipment Testing,MP-06.02.01.01,The organization defines the frequency for testing sanitization equipment and procedures to verify that the intended sanitization is being achieved as annually.,Read Control Step Content
1472,MP,Equipment Testing,MP-06.02.02.01,The organization tests sanitization equipment and procedures annually to verify that the intended sanitization is being achieved,Read Control Step Content
1473,MP,Nondestructive Techniques,MP-06.03.01.01,The organization defines circumstances requiring sanitization of portable storage devices as upon issuance and reissuance.,Read Control Step Content
1474,MP,Nondestructive Techniques,MP-06.03.02.01,The organization applies nondestructive sanitization techniques to portable storage devices prior to connecting such devices to the information system upon issuance and reissuance requiring sanitization of portable storage devices.,Read Control Step Content
1475,MP,Dual Authorization,MP-06.07.01.01,The organization defines information system media requiring dual authorization to be enforced for sanitization of such media.,Read Control Step Content
1476,MP,Dual Authorization,MP-06.07.02.01,The organization enforces dual authorization for the sanitization of organization-defined information system media.,Read Control Step Content
1477,MP,Remote Purging / Wiping of Information,MP-06.08.01.01,"The organization defines information systems, system components, or devices to purge/wipe either remotely or under specific organizational conditions.",Read Control Step Content
1478,MP,Remote Purging / Wiping of Information,MP-06.08.02.01,"The organization defines conditions under which information is to be purged/wiped from organization-defined information systems, system components, or devices.",Read Control Step Content
1479,MP,Remote Purging / Wiping of Information,MP-06.08.03.01,"The organization provides the capability to purge/wipe information from organization-defined information systems, system components, or devices either remotely.",Read Control Step Content
1480,MP,Remote Purging / Wiping of Information,MP-06.08.03.02,"The organization provides the capability to purge/wipe information from organization-defined information systems, system components, or devices either under organization-defined conditions.",Read Control Step Content
1481,MP,Media Use,MP-07.00.01.01,The organization defines types of information system media to be restricted on information systems or system components as personal media.,Read Control Step Content
1482,MP,Media Use,MP-07.00.01.02,The organization defines types of information system media to be prohibited from use on information systems or system components as personal media.,Read Control Step Content
1483,MP,Media Use,MP-07.00.02.01,The organization defines  Agency information system components on which the use of personal media is to be one of the following: restricted ,Read Control Step Content
1484,MP,Media Use,MP-07.00.02.02,The organization defines  Agency information system components on which the use of personal media is to be one of the following: prohibited.,Read Control Step Content
1485,MP,Media Use,MP-07.00.03.01,The organization defines security safeguards to be employed to prohibit the use of personal media on  Agency information system components using safeguards as defined in the Acceptable Use Policy for  Agency Information Resources and CITR-005: Removable Media Devices.,Read Control Step Content
1486,MP,Media Use,MP-07.00.04.01,The organization prohibits the use of personal media on  Agency information system components using safeguards as defined in the Acceptable Use Policy for  Agency Information Resources and CITR-005: Removable Media Devices.,Read Control Step Content
1487,MP,Prohibit Use without Owner,MP-07.01.01.01,The organization prohibits the use of portable storage devices in organizational information systems when such devices have no identifiable owner.,Read Control Step Content
1488,MP,Prohibit Use of Sanitization-Resistant Media,MP-07.02.01.01,The organization prohibits the use of sanitization-resistant media in organizational information systems.,Read Control Step Content
1489,MP,Media Downgrading,MP-08.00.01.01,The organization defines the information system media downgrading process.,Read Control Step Content
1490,MP,Media Downgrading,MP-08.00.01.02,The organization defines the strength and integrity with which media downgrading mechanisms are to be employed.,Read Control Step Content
1491,MP,Media Downgrading,MP-08.00.01.03,The organization establishes an organization-defined information system media downgrading process that includes employing downgrading mechanisms with organization-defined strength and integrity.,Read Control Step Content
1492,MP,Media Downgrading,MP-08.00.02.01,The organization ensures that the information system media downgrading process is commensurate with the security category and/or classification level of the information to be removed.,Read Control Step Content
1493,MP,Media Downgrading,MP-08.00.02.02,The organization ensures that the information system media downgrading process is commensurate with the access authorizations of the potential recipients of the downgraded information.,Read Control Step Content
1494,MP,Media Downgrading,MP-08.00.03.01,The organization identifies/defines information system media requiring downgrading.,Read Control Step Content
1495,MP,Media Downgrading,MP-08.00.04.01,The organization downgrades the identified information system media using the established process.,Read Control Step Content
1496,MP,Documentation of Process,MP-08.01.01.01,The organization documents information system media downgrading actions.,Read Control Step Content
1497,MP,Equipment Testing,MP-08.02.01.01,The organization defines tests to be employed for downgrading equipment.,Read Control Step Content
1498,MP,Equipment Testing,MP-08.02.01.02,The organization defines procedures to verify correct performance.,Read Control Step Content
1499,MP,Equipment Testing,MP-08.02.02.01,The organization defines the frequency for employing tests of downgrading equipment and procedures to verify correct performance.,Read Control Step Content
1500,MP,Equipment Testing,MP-08.02.03.01,The organization employs organization-defined tests of downgrading equipment and procedures to verify correct performance with the organization-defined frequency.,Read Control Step Content
1501,MP,Controlled Unclassified Information,MP-08.03.01.01,The organization defines Controlled Unclassified Information (CUI) contained on information system media that requires downgrading prior to public release.,Read Control Step Content
1502,MP,Controlled Unclassified Information,MP-08.03.02.01,The organization downgrades information system media containing organization-defined CUI prior to public release in accordance with applicable federal and organizational standards and policies.,Read Control Step Content
1503,MP,Classified Information,MP-08.04.01.01,The organization downgrades information system media containing classified information prior to release to individuals without required access authorizations in accordance with NSA standards and policies.,Read Control Step Content
1504,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.01.01,"The organization develops and documents a physical and environmental protection policy that addresses:
1) purpose
2) scope
3) roles 
4) responsibilities
5) management commitment
6) coordination among organizational entities
7) compliance",Read Control Step Content
1505,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.01.02,The organization defines personnel or roles to whom the physical and environmental protection policy is to be disseminated as Program Offices/System Owners.,Read Control Step Content
1506,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.01.03,The organization disseminates the physical and environmental protection policy to Program Offices/System Owners.,Read Control Step Content
1507,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the physical and environmental protection policy and associated physical and environmental protection controls.,Read Control Step Content
1508,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.,Read Control Step Content
1509,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.02.03,The organization disseminates the procedures to Program offices/System Owners.,Read Control Step Content
1510,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.03.01,"The organization defines the frequency to review and update the current physical and environmental protection policy as at least annually and as needed, respectively.",Read Control Step Content
1511,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.03.02,"The organization reviews and updates the current physical and environmental protection policy at least annually and as needed, respectively.",Read Control Step Content
1512,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.04.01,"The organization defines the frequency to review and update the current physical and environmental protection procedures as at least annually and as needed, respectively.",Read Control Step Content
1513,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.04.02,"The organization reviews and updates the current physical and environmental protection procedures at least annually and as needed, respectively.",Read Control Step Content
1514,PE,Physical Access Authorizations,PE-02.00.01.01,The organization develops a list of individuals with authorized access to the facility where the information system resides.,Read Control Step Content
1515,PE,Physical Access Authorizations,PE-02.00.01.02,The organization approves a list of individuals with authorized access to the facility where the information system resides.,Read Control Step Content
1516,PE,Physical Access Authorizations,PE-02.00.01.03,The organization maintains a list of individuals with authorized access to the facility where the information system resides.,Read Control Step Content
1517,PE,Physical Access Authorizations,PE-02.00.02.01,The organization issues authorization credentials for facility access.,Read Control Step Content
1518,PE,Physical Access Authorizations,PE-02.00.03.01,The organization defines the frequency to review the access list detailing authorized facility access by individuals as at least annually.,Read Control Step Content
1519,PE,Physical Access Authorizations,PE-02.00.03.02,The organization reviews the access list detailing authorized facility access by individuals at least annually.,Read Control Step Content
1520,PE,Physical Access Authorizations,PE-02.00.04.01,The organization removes individuals from the facility access list when access is no longer required.,Read Control Step Content
1521,PE,Access by Position / Role,PE-02.01.01.01,The organization authorizes physical access to the facility where the information system resides based on position or role.,Read Control Step Content
1522,PE,Two Forms of Identification,PE-02.02.01.01,The organization defines a list of acceptable forms of identification for visitor access to the facility where the information system resides.,Read Control Step Content
1523,PE,Two Forms of Identification,PE-02.02.02.01,The organization requires two forms of identification from the organization-defined list of acceptable forms of identification for visitor access to the facility where the information system resides.,Read Control Step Content
1524,PE,Restrict Unescorted Access,PE-02.03.01.01,The organization defines credentials to be employed to restrict unescorted access to the facility where the information system resides to authorized personnel.,Read Control Step Content
1525,PE,Restrict Unescorted Access,PE-02.03.02.01,The organization restricts unescorted access to the facility where the information system resides to personnel with one or more of the following: security clearances for all information contained within the system.,Read Control Step Content
1526,PE,Restrict Unescorted Access,PE-02.03.02.02,The organization restricts unescorted access to the facility where the information system resides to personnel with one or more of the following: formal access authorizations for all information contained within the system.,Read Control Step Content
1527,PE,Restrict Unescorted Access,PE-02.03.02.03,The organization restricts unescorted access to the facility where the information system resides to personnel with one or more of the following: need for access to all information contained within the system.,Read Control Step Content
1528,PE,Restrict Unescorted Access,PE-02.03.02.04,The organization restricts unescorted access to the facility where the information system resides to personnel with one or more of the following: organization-defined credentials.,Read Control Step Content
1529,PE,Physical Access Control ,PE-03.00.01.01,The organization defines entry/exit points to the facility where the information system resides as all physical access points (including designated entry/exit points) to facilities containing information systems (except areas within the facility officially designated as publicly accessible).,Read Control Step Content
1530,PE,Physical Access Control ,PE-03.00.01.02,"The organization enforces physical access authorizations at all physical access points (including designated entry/exit points) to facilities containing information systems (except areas within the facility officially designated as publicly accessible) by:
1) verifying individual access authorizations before granting access to the facility:
  a) defining physical access control systems/devices to be employed to control ingress/egress to the facility where the information system resides as physical access devices and/or guards
  b) using one or more of the following ways to control ingress/egress to the facility
    i) physical access devices
    ii) guards",Read Control Step Content
1531,PE,Physical Access Control ,PE-03.00.02.01,The organization defines entry/exit points for which physical access audit logs are to be maintained as areas requiring controlled access.,Read Control Step Content
1532,PE,Physical Access Control ,PE-03.00.02.02,The organization maintains physical access audit logs for areas requiring controlled access.,Read Control Step Content
1533,PE,Physical Access Control ,PE-03.00.03.01,The organization defines security safeguards to be employed to control access to areas within the facility officially designated as publicly accessible as using security camera monitored by guards and isolation of selected information systems and/or system components in secured areas.,Read Control Step Content
1534,PE,Physical Access Control ,PE-03.00.03.02,The organization provides security camera monitoring by guards and isolation of selected information systems and/or system components in secured areas to control access to areas within the facility officially designated as publicly accessible.,Read Control Step Content
1535,PE,Physical Access Control ,PE-03.00.04.01,"The organization defines circumstances requiring monitoring of visitors in  Agency facilities:
1) escorts
2) monitoring",Read Control Step Content
1536,PE,Physical Access Control ,PE-03.00.04.02,"The organization in requiring visitor escorts and monitoring in  Agency facilities:
1) escort visitors
2) monitors visitor activities",Read Control Step Content
1537,PE,Physical Access Control ,PE-03.00.05.01,The organization secures keys.,Read Control Step Content
1538,PE,Physical Access Control ,PE-03.00.05.02,The organization secures combinations.,Read Control Step Content
1539,PE,Physical Access Control ,PE-03.00.05.03,The organization secures other physical access devices.,Read Control Step Content
1540,PE,Physical Access Control ,PE-03.00.06.01,The organization defines physical access devices to be inventoried as locks and keys.,Read Control Step Content
1541,PE,Physical Access Control ,PE-03.00.06.02,The organization defines the frequency to inventory locks and keys as at least annually.,Read Control Step Content
1542,PE,Physical Access Control ,PE-03.00.06.03,The organization inventories locks and keys at least annually.,Read Control Step Content
1543,PE,Physical Access Control ,PE-03.00.07.01,"The organization defines the frequency to change combinations and keys when keys are lost, combinations are compromised, or individuals are transferred or terminated.",Read Control Step Content
1544,PE,Physical Access Control ,PE-03.00.07.02,"The organization changes combinations and keys at least annually and/or when 
1) keys are lost
2) combinations are compromised
3) individuals are transferred or terminated",Read Control Step Content
1545,PE,Information System Access,PE-03.01.01.01,The organization defines physical spaces containing one or more components of the information system as server rooms and communication centers (this does not apply to workstations or peripheral devices dispersed throughout the facility).,Read Control Step Content
1546,PE,Information System Access,PE-03.01.02.01,The organization enforces physical access authorizations to the information system in addition to the physical access controls for the facility at server rooms and communication centers (this does not apply to workstations or peripheral devices dispersed throughout the facility).,Read Control Step Content
1547,PE,Facility/Information System Boundaries,PE-03.02.01.01,The organization defines the frequency to perform security checks at the physical boundary of the facility or information system for unauthorized exfiltration of information.,Read Control Step Content
1548,PE,Facility/Information System Boundaries,PE-03.02.01.02,The organization defines the frequency to perform security checks at the physical boundary of the facility or information system for removal of information system components.,Read Control Step Content
1549,PE,Facility/Information System Boundaries,PE-03.02.02.01,The organization performs security checks with the organization-defined frequency at the physical boundary of the facility or information system for unauthorized exfiltration of information.,Read Control Step Content
1550,PE,Facility/Information System Boundaries,PE-03.02.02.02,The organization performs security checks with the organization-defined frequency at the physical boundary of the facility or information system for removal of information system components.,Read Control Step Content
1551,PE,Continuous Guards / Alarms / Monitoring,PE-03.03.01.01,"The organization employs one or more of the following to monitor every physical access point to the facility where the information system resides 24 hours per day, 7 days per week: guards",Read Control Step Content
1552,PE,Continuous Guards / Alarms / Monitoring,PE-03.03.02.01,"The organization employs one or more of the following to monitor every physical access point to the facility where the information system resides 24 hours per day, 7 days per week: alarms",Read Control Step Content
1553,PE,Lockable Casing,PE-03.04.01.01,The organization defines information system components to be protected from unauthorized physical access using lockable physical casings.,Read Control Step Content
1554,PE,Lockable Casing,PE-03.04.01.02,The organization uses lockable physical casings to protect organization-defined information system components from unauthorized physical access.,Read Control Step Content
1555,PE,Tamper Protection,PE-03.05.01.01,The organization defines security safeguards to be employed to detect and/or prevent physical tampering or alteration of organization-defined hardware components within the information system.,Read Control Step Content
1556,PE,Tamper Protection,PE-03.05.02.01,The organization defines hardware components within the information system for which security safeguards are to be employed to detect and/or prevent physical tampering or alteration of such components.,Read Control Step Content
1557,PE,Tamper Protection,PE-03.05.03.01,The organization employs organization-defined security safeguards to do one or more of the following: detect physical tampering or alteration of organization-defined hardware components within the information system.,Read Control Step Content
1558,PE,Tamper Protection,PE-03.05.03.02,The organization employs organization-defined security safeguards to do one or more of the following: prevent physical tampering or alteration of organization-defined hardware components within the information system.,Read Control Step Content
1559,PE,Facility Penetration Testing,PE-03.06.01.01,The organization defines the frequency of unannounced attempts to be included in a penetration testing process to bypass or circumvent security controls associated with physical access points to the facility.,Read Control Step Content
1560,PE,Facility Penetration Testing,PE-03.06.02.01,The organization employs a penetration testing process with the organization-defined frequency that includes unannounced attempts to bypass or circumvent security controls associated with physical access points to the facility.,Read Control Step Content
1561,PE,Access Control for Transmission Medium,PE-04.00.01.01,The organization defines information system distribution and transmission lines requiring physical access controls.,Read Control Step Content
1562,PE,Access Control for Transmission Medium,PE-04.00.02.01,"The organization defines security safeguards to be employed to control physical access to organization-defined information system distribution and transmission lines within organizational facilities as facilities using secured wiring closets, disconnected or locked spare jacks, and/or protection of cabling by conduit or cable trays.",Read Control Step Content
1563,PE,Access Control for Transmission Medium,PE-04.00.03.01,"The organization controls physical access to organization-defined information system distribution and transmission lines within organizational facilities using secured wiring closets, disconnected or locked spare jacks, and/or protection of cabling by conduit or cable trays.",Read Control Step Content
1564,PE,Access Control for Display Medium ,PE-05.00.01.01,The organization controls physical access to information system output devices to prevent unauthorized individuals from obtaining the output.,Read Control Step Content
1565,PE,Access to Output by Authorized Individuals,PE-05.01.01.01,The organization defines output devices whose output requires physical access controls.,Read Control Step Content
1566,PE,Access to Output by Authorized Individuals,PE-05.01.01.02,The organization controls physical access to output from organization-defined output devices.,Read Control Step Content
1567,PE,Access to Output by Authorized Individuals,PE-05.01.02.01,The organization ensures that only authorized individuals receive output from the device.,Read Control Step Content
1568,PE,Access to Output by Individual Identity,PE-05.02.01.01,The organization defines output devices whose output requires physical access controls.,Read Control Step Content
1569,PE,Access to Output by Individual Identity,PE-05.02.01.02,The information system controls physical access to output from organization-defined output devices.,Read Control Step Content
1570,PE,Access to Output by Individual Identity,PE-05.02.02.01,The information system links individual identity to receipt of the output from the device.,Read Control Step Content
1571,PE,Marking Output Devices,PE-05.03.01.01,The organization defines information system output devices to be marked with appropriate security marking of the information permitted to be output from such devices.,Read Control Step Content
1572,PE,Marking Output Devices,PE-05.03.02.01,The organization marks organization-defined information system output devices indicating the appropriate security marking of the information permitted to be output from the device.,Read Control Step Content
1573,PE,Monitoring Physical Access ,PE-06.00.01.01,The organization monitors physical access to the facility where the information system resides to detect and respond to physical security incidents. ,Read Control Step Content
1574,PE,Monitoring Physical Access ,PE-06.00.02.01,The organization defines the frequency to review physical access logs as monthly.,Read Control Step Content
1575,PE,Monitoring Physical Access ,PE-06.00.02.02,The organization defines events or potential indication of events requiring physical access logs to be reviewed as physical security incidents.,Read Control Step Content
1576,PE,Monitoring Physical Access ,PE-06.00.02.03,The organization reviews physical access logs monthly and upon occurrence of physical security incidents.,Read Control Step Content
1577,PE,Monitoring Physical Access ,PE-06.00.03.01,The organization coordinates results of reviews and investigations with  Agency’s incident response capability.,Read Control Step Content
1578,PE,Intrusion Alarms / Surveillance Equipment,PE-06.01.01.01,The organization monitors physical intrusion alarms and surveillance equipment.,Read Control Step Content
1579,PE,Automated Intrusion Recognition / Responses,PE-06.02.01.01,The organization defines classes/types of intrusions to be recognized by automated mechanisms.,Read Control Step Content
1580,PE,Automated Intrusion Recognition / Responses,PE-06.02.02.01,The organization defines response actions to be initiated by automated mechanisms when organization-defined classes/types of intrusions are recognized.,Read Control Step Content
1581,PE,Automated Intrusion Recognition / Responses,PE-06.02.03.01,The organization employs automated mechanisms to recognize organization-defined classes/types of intrusions and initiate organization-defined response actions.,Read Control Step Content
1582,PE,Video Surveillance,PE-06.03.01.01,The organization defines operational areas where video surveillance is to be employed.,Read Control Step Content
1583,PE,Video Surveillance,PE-06.03.02.01,The organization defines a time period to retain video recordings of organization-defined operational areas.,Read Control Step Content
1584,PE,Video Surveillance,PE-06.03.03.01,The organization employs video surveillance of organization-defined operational areas.,Read Control Step Content
1585,PE,Video Surveillance,PE-06.03.03.02,The organization retains video recordings for the organization-defined time period.,Read Control Step Content
1586,PE,Monitoring Physical Access to Information Systems,PE-06.04.01.01,The organization defines physical spaces containing one or more components of the information system as server rooms and communication centers (this does not apply to workstations or peripheral devices dispersed throughout the facility).,Read Control Step Content
1587,PE,Monitoring Physical Access to Information Systems,PE-06.04.02.01,The organization monitors physical access to the information system in addition to the physical access monitoring of the facility at server rooms and communication centers (this does not apply to workstations or peripheral devices dispersed throughout the facility.,Read Control Step Content
1588,PE,Access Records ,PE-08.00.01.01,"The organization defines the time period to maintain visitor access records to the facility where the information system resides for at least a year. 
Visitor access records must include:
1) Name and organization of person visiting
2) Signature of the visitor
3) Form of identification
4) Date of access
5) Time of entry
6) Time of departure (only applicable to areas designated to process Title 26 data)
7) Purpose of visit
8) Name and organization of person visited",Read Control Step Content
1589,PE,Access Records ,PE-08.00.01.02,"The organization maintains visitor access records to the facility where the information system resides for at least a year. 
Visitor access records must include:
1) Name and organization of person visiting
2) Signature of the visitor
3) Form of identification
4) Date of access
5) Time of entry
6) Time of departure (only applicable to areas designated to process Title 26 data)
7) Purpose of visit
8) Name and organization of person visited
",Read Control Step Content
1590,PE,Access Records ,PE-08.00.02.01,The organization defines the frequency to review visitor access records as at least monthly.,Read Control Step Content
1591,PE,Access Records ,PE-08.00.02.02,The organization reviews visitor access records at least monthly.,Read Control Step Content
1592,PE,Automated Records Maintenance / Review,PE-08.01.01.01,The organization employs automated mechanisms to facilitate the maintenance and review of visitor access records.,Read Control Step Content
1593,PE,Power Equipment and Power Cabling ,PE-09.00.01.01,The organization protects power equipment and power cabling for the information system from damage and destruction.,Read Control Step Content
1594,PE,Redundant Cabling,PE-09.01.01.01,The organization defines the distance by which redundant power cabling paths are to be physically separated.,Read Control Step Content
1595,PE,Automatic Voltage Controls,PE-09.02.01.01,The organization defines critical information system components that require automatic voltage controls.,Read Control Step Content
1596,PE,Automatic Voltage Controls,PE-09.02.02.01,The organization employs automatic voltage controls for organization-defined critical information system components.,Read Control Step Content
1597,PE,Emergency Shutoff ,PE-10.00.01.01,The organization provides the capability of shutting off power to the information system or individual system components in emergency situations.,Read Control Step Content
1598,PE,Emergency Shutoff ,PE-10.00.02.01,The organization defines the location of emergency shutoff switches or devices by information system or system component as in facilities containing information system resources.,Read Control Step Content
1599,PE,Emergency Shutoff ,PE-10.00.02.02,The organization places emergency shutoff switches or devices in facilities containing information system resources to facilitate safe and easy access for personnel.,Read Control Step Content
1600,PE,Emergency Shutoff ,PE-10.00.03.01,The organization protects emergency power shutoff capability from unauthorized activation.,Read Control Step Content
1601,PE,Emergency Power ,PE-11.00.01.01,The organization provides a short-term uninterruptible power supply to facilitate one or more of the following in the event of a primary power source loss: an orderly shutdown of the information system.,Read Control Step Content
1602,PE,Emergency Power ,PE-11.00.02.01,The organization provides a short-term uninterruptible power supply to facilitate one or more of the following in the event of a primary power source loss: transition of the information system to long-term alternate power.,Read Control Step Content
1603,PE,Long-Term Alternate Power Supply - Minimum Operational Capability,PE-11.01.01.01,The organization provides a long-term alternate power supply for the information system that is capable of maintaining minimally required operational capability in the event of an extended loss of the primary power source.,Read Control Step Content
1604,PE,Long-Term Alternate Power Supply - Self-Contained,PE-11.02.01.01,The organization provides a long-term alternate power supply for the information system that is self-contained.,Read Control Step Content
1605,PE,Long-Term Alternate Power Supply - Self-Contained,PE-11.02.02.01,The organization provides a long-term alternate power supply for the information system that is not reliant on external power generation.,Read Control Step Content
1606,PE,Long-Term Alternate Power Supply - Self-Contained,PE-11.02.03.01,The organization provides a long-term alternate power supply for the information system that is capable of maintaining one of the following in the event of an extended loss of the primary power source:,Read Control Step Content
1607,PE,Long-Term Alternate Power Supply - Self-Contained,PE-11.02.03.02,The organization provides a long-term alternate power supply for the information system that is capable of maintaining one of the following in the event of an extended loss of the primary power source: full operational capability.,Read Control Step Content
1608,PE,Emergency Lighting ,PE-12.00.01.01,The organization employs and maintains automatic emergency lighting for the information system that activates in the event of a power outage or disruption.,Read Control Step Content
1609,PE,Emergency Lighting ,PE-12.00.02.01,The organization employs and maintains automatic emergency lighting for the information system that covers emergency exits and evacuation routes within the facility.,Read Control Step Content
1610,PE,Essential Missions / Business Functions,PE-12.01.01.01,The organization provides emergency lighting for all areas within the facility supporting essential missions and business functions.,Read Control Step Content
1611,PE,Fire Protection ,PE-13.00.01.01,The organization employs fire suppression and detection devices/systems for the information system that are supported by an independent energy source.,Read Control Step Content
1612,PE,Fire Protection ,PE-13.00.02.01,The organization maintains fire suppression and detection devices/systems for the information system that are supported by an independent energy source.,Read Control Step Content
1613,PE,Detection Devices / Systems,PE-13.01.01.01,The organization defines personnel or roles to be notified in the event of a fire as the GSA or Facility Owner..,Read Control Step Content
1614,PE,Detection Devices / Systems,PE-13.01.02.01,The organization defines emergency responders to be notified in the event of a fire as Police Department and Fire Department.,Read Control Step Content
1615,PE,Detection Devices / Systems,PE-13.01.03.01,"The organization employs fire detection devices/systems for the information system that, in the event of a fire: activate automatically",Read Control Step Content
1616,PE,Detection Devices / Systems,PE-13.01.03.02,"The organization employs fire detection devices/systems for the information system that, in the event of a fire: notify GSA or Facility Owner.",Read Control Step Content
1617,PE,Detection Devices / Systems,PE-13.01.03.03,"The organization employs fire detection devices/systems for the information system that, in the event of a fire: notify Police Department and Fire Department.",Read Control Step Content
1618,PE,Suppression Devices / Systems,PE-13.02.01.01,The organization defines personnel or roles to be provided automatic notification of any activation of fire suppression devices/systems for the information system as GSA.,Read Control Step Content
1619,PE,Suppression Devices / Systems,PE-13.02.02.01,The organization defines emergency responders to be provided automatic notification of any activation of fire suppression devices/systems for the information system as Police Department and Fire Department.,Read Control Step Content
1620,PE,Suppression Devices / Systems,PE-13.02.03.01,The organization employs fire suppression devices/systems for the information system that provide automatic notification of any activation to GSA or Facility Owner.,Read Control Step Content
1621,PE,Suppression Devices / Systems,PE-13.02.03.02,The organization employs fire suppression devices/systems for the information system that provide automatic notification of any activation to Police Department and Fire Department.,Read Control Step Content
1622,PE,Automatic Fire Suppression,PE-13.03.01.01,The organization employs an automatic fire suppression capability for the information system when the facility is not staffed on a continuous basis.,Read Control Step Content
1623,PE,Inspections,PE-13.04.01.01,The organization defines the frequency of inspections to be conducted on the facility by authorized and qualified inspectors.,Read Control Step Content
1624,PE,Inspections,PE-13.04.02.01,The organization ensures that the facility undergoes inspections by authorized and qualified inspectors with the organization-defined frequency.,Read Control Step Content
1625,PE,Inspections,PE-13.04.03.01,The organization defines a time period to resolve deficiencies identified when the facility undergoes such inspections.,Read Control Step Content
1626,PE,Inspections,PE-13.04.04.01,The organization resolves identified deficiencies within the organization-defined time period.,Read Control Step Content
1627,PE,Temperature and Humidity Controls ,PE-14.00.01.01,The organization defines acceptable temperature levels to be maintained within the facility where the information system resides at levels specified in hardware vendor documentation.,Read Control Step Content
1628,PE,Temperature and Humidity Controls ,PE-14.00.01.02,The organization defines acceptable humidity levels to be maintained within the facility where the information system resides at levels specified in hardware vendor documentation.,Read Control Step Content
1629,PE,Temperature and Humidity Controls ,PE-14.00.01.03,The organization maintains temperature levels within the facility where the information system resides at levels specified in hardware vendor documentation.,Read Control Step Content
1630,PE,Temperature and Humidity Controls ,PE-14.00.01.04,The organization maintains humidity levels within the facility where the information system resides at levels specified in hardware vendor documentation.,Read Control Step Content
1631,PE,Temperature and Humidity Controls ,PE-14.00.02.01,The organization defines the frequency to monitor temperature levels as regularly.,Read Control Step Content
1632,PE,Temperature and Humidity Controls ,PE-14.00.02.02,The organization defines the frequency to monitor humidity levels as regularly.,Read Control Step Content
1633,PE,Temperature and Humidity Controls ,PE-14.00.02.03,The organization monitors temperature levels regularly.,Read Control Step Content
1634,PE,Temperature and Humidity Controls ,PE-14.00.02.04,The organization monitors humidity levels regularly.,Read Control Step Content
1635,PE,Automatic Controls,PE-14.01.01.01,The organization employs automatic temperature controls in the facility to prevent fluctuations potentially harmful to the information system. ,Read Control Step Content
1636,PE,Automatic Controls,PE-14.01.01.02,The organization employs automatic humidity controls in the facility to prevent fluctuations potentially harmful to the information system.,Read Control Step Content
