ID,Control Family,Control Enhancement Name,Control Step,Control Step Content
706,MA,Remote Maintenance,MA-04.00.01.02,The organization monitors nonlocal maintenance and diagnostic activities. 
707,MA,Remote Maintenance,MA-04.00.02.01,The organization allows the use of nonlocal maintenance and diagnostic tools only as consistent with organizational policy.
708,MA,Remote Maintenance,MA-04.00.02.02,The organization allows the use of nonlocal maintenance and diagnostic tools only as documented in the security plan for the information system.
709,MA,Remote Maintenance,MA-04.00.03.01,The organization employs strong authenticators in the establishment of nonlocal maintenance and diagnostic sessions. 
710,MA,Remote Maintenance,MA-04.00.04.01,The organization maintains records for nonlocal maintenance and diagnostic activities.
711,MA,Remote Maintenance,MA-04.00.05.01,The organization terminates sessions when nonlocal maintenance or diagnostics is completed. 
712,MA,Remote Maintenance,MA-04.00.05.02,The organization terminates network connections when nonlocal maintenance or diagnostics is completed.
713,MA,Document Nonlocal Maintenance,MA-04.02.01.01,The organization documents in the security plan for the information system the policies for the establishment and use of nonlocal maintenance and diagnostic connections.
714,MA,Document Nonlocal Maintenance,MA-04.02.02.01,The organization documents in the security plan for the information system the procedures for the establishment and use of nonlocal maintenance and diagnostic connections.
715,MA,Maintenance Personnel ,MA-05.00.01.01,The organization establishes a process for maintenance personnel authorization.
716,MA,Maintenance Personnel ,MA-05.00.01.02,The organization maintains a list of authorized maintenance organizations or personnel
717,MA,Maintenance Personnel ,MA-05.00.02.01,The organization ensures that non-escorted personnel performing maintenance on the information system have required access authorizations.
718,MA,Maintenance Personnel ,MA-05.00.03.01,The organization designates organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations.
719,MA,Timely Maintenance,MA-06.00.01.01,The organization defines information system components for which maintenance support and/or spare parts are to be obtained as information system components.
720,MA,Timely Maintenance,MA-06.00.02.01,The organization defines the time period within which maintenance support and/or spare parts are to be obtained after a failure as 10 business days of failure or as otherwise defined in maintenance agreements and the system contingency plan.
721,MA,Timely Maintenance,MA-06.00.03.01,The organization obtains maintenance support for information system components within 10 business days of failure or as otherwise defined in maintenance agreements and the system contingency plan.
722,MA,Timely Maintenance,MA-06.00.03.02,The organization obtains spare parts for information system components within 10 business days of failure or as otherwise defined in maintenance agreements and the system contingency plan.
723,MP,Media Protection Policy and Procedures ,MP-01.00.01.01,"The organization develops and documents a media protection policy that addresses:
1) purpose
2) scope
3) roles 
4) responsibilities
5) management commitment
6) coordination among organizational entities
7) compliance"
724,MP,Media Protection Policy and Procedures ,MP-01.00.01.02,The organization defines personnel or roles to whom the media protection policy is to be disseminated as Program Offices/System Owners.
725,MP,Media Protection Policy and Procedures ,MP-01.00.01.03,The organization disseminates the media protection policy to Program Offices/System Owners.
726,MP,Media Protection Policy and Procedures ,MP-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the media protection policy and associated media protection controls. 
727,MP,Media Protection Policy and Procedures ,MP-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.
728,MP,Media Protection Policy and Procedures ,MP-01.00.02.03,The organization disseminates the procedures to Program Offices/System Owners.
729,MP,Media Protection Policy and Procedures ,MP-01.00.03.01,"The organization defines the frequency to review and update the current media protection policy as at least annually and as needed, respectively."
730,MP,Media Protection Policy and Procedures ,MP-01.00.03.02,"The organization reviews and updates the current media protection policy at least annually and as needed, respectively."
731,MP,Media Protection Policy and Procedures ,MP-01.00.04.01,"The organization defines the frequency to review and update the current media protection procedures at least annually and as needed, respectively."
732,MP,Media Protection Policy and Procedures ,MP-01.00.04.02,"The organization reviews and updates the current media protection procedures at least annually and as needed, respectively."
733,MP,Media Access,MP-02.00.01.01,The organization defines types of digital and/or non-digital media requiring restricted access as digital and non-digital media.
734,MP,Media Access,MP-02.00.02.01,The organization defines personnel or roles authorized to access digital and non-digital media through an approved access control list.
735,MP,Media Access,MP-02.00.03.01,The organization restricts access to digital and non-digital media using an approved access control list.
736,MP,"Media Access, Census Bureau Criteria",MP-02.03.01.01,"Program Offices/System Owners must ensure that cryptographic mechanisms are employed to protect and restrict access to sensitive information on portable digital media, in accordance with the Acceptable Use Policy for Census Bureau Information Resources."
737,MP,Media Labeling,MP-03.00.01.01,The organization marks information system media indicating the distribution limitations of the information.
738,MP,Media Labeling,MP-03.00.01.02,The organization marks information system media indicating the handling caveats of the information.
739,MP,Media Labeling,MP-03.00.01.03,The organization marks information system media indicating the applicable security markings (if any) of the information.
740,MP,Media Labeling,MP-03.00.02.01,The organization defines types of information system media to be exempted from marking as long as the media remain in designated controlled areas as no exemptions.
741,MP,Media Labeling,MP-03.00.02.02,The organization defines controlled areas where organization-defined types of information system media exempt from marking are to be retained.
742,MP,Media Labeling,MP-03.00.02.03,The organization exempts organization-defined types of information system media from marking as long as the media remain within organization-defined controlled areas. 
743,MP,Media Storage,MP-04.00.01.01,The organization defines types of digital and/or non-digital media to be physically controlled and securely stored within designated controlled areas as all digital and/or non-digital information.
744,MP,Media Storage,MP-04.00.01.02,The organization defines controlled areas designated to physically control and securely store all digital and/or non-digital media as within Census Bureau controlled areas using approved access control lists.
745,MP,Media Storage,MP-04.00.01.03,The organization physically controls all digital and/or non-digital media within Census Bureau controlled areas using approved access control lists.
746,MP,Media Storage,MP-04.00.01.04,The organization securely stores all digital and/or non-digital media within Census Bureau controlled areas using approved access control lists.
747,MP,Media Storage,MP-04.00.02.01,"The organization protects information system media until the media are destroyed or sanitized using approved equipment, techniques, and procedures."
748,MP,Media Transport,MP-05.00.01.01,The organization defines types of information system media to be protected and controlled during transport outside of controlled areas as both digital and non-digital media.
749,MP,Media Transport,MP-05.00.01.02,"The organization defines security safeguards to protect and control digital and non-digital media during transport outside of controlled areas according to Data Stewardship Executive Policy Committee (DSEP) policies, the Policies and Procedures Manual, and OIS guidelines."
750,MP,Media Transport,MP-05.00.01.03,"The organization protects and controls both digital and non-digital media during transport outside of controlled areas according to Data Stewardship Executive Policy Committee (DSEP) policies, the Policies and Procedures Manual, and OIS guidelines."
751,MP,Media Transport,MP-05.00.02.01,The organization maintains accountability for information system media during transport outside of controlled areas.
752,MP,Media Transport,MP-05.00.03.01,The organization documents activities associated with the transport of information system media.
753,MP,Media Transport,MP-05.00.04.01,The organization restricts the activities associated with transport of information system media to authorized personnel without prior authorization.
754,MP,Cryptographic Protection,MP-05.04.01.01,The organization employs cryptographic mechanisms to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas.
755,MP,Media Sanitization and Disposal,MP-06.00.01.01,"The organization defines digital and non-digital media to be sanitized using sanitization techniques and procedures defined in MP-01.00.01.01 to MP-01.00.04.02 policy prior to:
1) disposal
2) release out of organizational control
3) release for reuse"
756,MP,Media Sanitization and Disposal,MP-06.00.01.02,"The organization defines sanitization techniques or procedures to be used for sanitizing digital and non-digital media using sanitization techniques and procedures defined in MP-01.00.01.01 to MP-01.00.04.02 policy prior to:
1) disposal
2) release out of organizational control
3) release for reuse"
757,MP,Media Sanitization and Disposal,MP-06.00.01.03,"The organization sanitizes digital and non-digital media prior to disposal, release out of organizational control, or release for reuse using sanitization techniques and procedures defined in MP-01.00.01.01 to MP-01.00.04.02 policy, in accordance with applicable federal and organizational standards and policies."
758,MP,Media Sanitization and Disposal,MP-06.00.02.01,The organization employs sanitization mechanisms with strength and integrity commensurate with the security category or classification of the information.
759,MP,Media Use,MP-07.00.01.02,The organization defines types of information system media to be prohibited from use on information systems or system components as personal media.
760,MP,Media Use,MP-07.00.02.02,The organization defines Census Bureau information system components on which the use of personal media is to be one of the following: prohibited.
761,MP,Media Use,MP-07.00.03.01,The organization defines security safeguards to be employed to prohibit the use of personal media on Census Bureau information system components using safeguards as defined in the Acceptable Use Policy for Census Bureau Information Resources and CITR-005: Removable Media Devices.
762,MP,Media Use,MP-07.00.04.01,The organization prohibits the use of personal media on Census Bureau information system components using safeguards as defined in the Acceptable Use Policy for Census Bureau Information Resources and CITR-005: Removable Media Devices.
763,MP,Prohibit Use without Owner,MP-07.01.01.01,The organization prohibits the use of portable storage devices in organizational information systems when such devices have no identifiable owner.
764,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.01.01,"The organization develops and documents a physical and environmental protection policy that addresses:
1) purpose
2) scope
3) roles 
4) responsibilities
5) management commitment
6) coordination among organizational entities
7) compliance"
765,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.01.02,The organization defines personnel or roles to whom the physical and environmental protection policy is to be disseminated as Program Offices/System Owners.
766,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.01.03,The organization disseminates the physical and environmental protection policy to Program Offices/System Owners.
767,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the physical and environmental protection policy and associated physical and environmental protection controls.
768,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.
769,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.02.03,The organization disseminates the procedures to Program offices/System Owners.
770,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.03.01,"The organization defines the frequency to review and update the current physical and environmental protection policy as at least annually and as needed, respectively."
771,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.03.02,"The organization reviews and updates the current physical and environmental protection policy at least annually and as needed, respectively."
772,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.04.01,"The organization defines the frequency to review and update the current physical and environmental protection procedures as at least annually and as needed, respectively."
773,PE,Physical and Environmental Protection Policy and Procedures,PE-01.00.04.02,"The organization reviews and updates the current physical and environmental protection procedures at least annually and as needed, respectively."
774,PE,Physical Access Authorizations,PE-02.00.01.01,The organization develops a list of individuals with authorized access to the facility where the information system resides.
775,PE,Physical Access Authorizations,PE-02.00.01.02,The organization approves a list of individuals with authorized access to the facility where the information system resides.
776,PE,Physical Access Authorizations,PE-02.00.01.03,The organization maintains a list of individuals with authorized access to the facility where the information system resides.
777,PE,Physical Access Authorizations,PE-02.00.02.01,The organization issues authorization credentials for facility access.
778,PE,Physical Access Authorizations,PE-02.00.03.01,The organization defines the frequency to review the access list detailing authorized facility access by individuals as at least annually.
779,PE,Physical Access Authorizations,PE-02.00.03.02,The organization reviews the access list detailing authorized facility access by individuals at least annually.
780,PE,Physical Access Authorizations,PE-02.00.04.01,The organization removes individuals from the facility access list when access is no longer required.
781,PE,Physical Access Control ,PE-03.00.01.01,The organization defines entry/exit points to the facility where the information system resides as all physical access points (including designated entry/exit points) to facilities containing information systems (except areas within the facility officially designated as publicly accessible).
782,PE,Physical Access Control ,PE-03.00.01.02,"The organization enforces physical access authorizations at all physical access points (including designated entry/exit points) to facilities containing information systems (except areas within the facility officially designated as publicly accessible) by:
1) verifying individual access authorizations before granting access to the facility:
  a) defining physical access control systems/devices to be employed to control ingress/egress to the facility where the information system resides as physical access devices and/or guards
  b) using one or more of the following ways to control ingress/egress to the facility
    i) physical access devices
    ii) guards"
783,PE,Physical Access Control ,PE-03.00.02.01,The organization defines entry/exit points for which physical access audit logs are to be maintained as areas requiring controlled access.
784,PE,Physical Access Control ,PE-03.00.02.02,The organization maintains physical access audit logs for areas requiring controlled access.
785,PE,Physical Access Control ,PE-03.00.03.01,The organization defines security safeguards to be employed to control access to areas within the facility officially designated as publicly accessible as using security camera monitored by guards and isolation of selected information systems and/or system components in secured areas.
786,PE,Physical Access Control ,PE-03.00.03.02,The organization provides security camera monitoring by guards and isolation of selected information systems and/or system components in secured areas to control access to areas within the facility officially designated as publicly accessible.
787,PE,Physical Access Control ,PE-03.00.04.01,"The organization defines circumstances requiring monitoring of visitors in Census Bureau facilities:
1) escorts
2) monitoring"
788,PE,Physical Access Control ,PE-03.00.04.02,"The organization in requiring visitor escorts and monitoring in Census Bureau facilities:
1) escort visitors
2) monitors visitor activities"
789,PE,Physical Access Control ,PE-03.00.05.01,The organization secures keys.
790,PE,Physical Access Control ,PE-03.00.05.02,The organization secures combinations.
791,PE,Physical Access Control ,PE-03.00.05.03,The organization secures other physical access devices.
792,PE,Physical Access Control ,PE-03.00.06.01,The organization defines physical access devices to be inventoried as locks and keys.
793,PE,Physical Access Control ,PE-03.00.06.02,The organization defines the frequency to inventory locks and keys as at least annually.
794,PE,Physical Access Control ,PE-03.00.06.03,The organization inventories locks and keys at least annually.
795,PE,Physical Access Control ,PE-03.00.07.01,"The organization defines the frequency to change combinations and keys when keys are lost, combinations are compromised, or individuals are transferred or terminated."
796,PE,Physical Access Control ,PE-03.00.07.02,"The organization changes combinations and keys at least annually and/or when 
1) keys are lost
2) combinations are compromised
3) individuals are transferred or terminated"
797,PE,Access Control for Transmission Medium,PE-04.00.01.01,The organization defines information system distribution and transmission lines requiring physical access controls.
798,PE,Access Control for Transmission Medium,PE-04.00.02.01,"The organization defines security safeguards to be employed to control physical access to organization-defined information system distribution and transmission lines within organizational facilities as facilities using secured wiring closets, disconnected or locked spare jacks, and/or protection of cabling by conduit or cable trays."
799,PE,Access Control for Transmission Medium,PE-04.00.03.01,"The organization controls physical access to organization-defined information system distribution and transmission lines within organizational facilities using secured wiring closets, disconnected or locked spare jacks, and/or protection of cabling by conduit or cable trays."
800,PE,Access Control for Display Medium ,PE-05.00.01.01,The organization controls physical access to information system output devices to prevent unauthorized individuals from obtaining the output.
801,PE,Monitoring Physical Access ,PE-06.00.01.01,The organization monitors physical access to the facility where the information system resides to detect and respond to physical security incidents. 
802,PE,Monitoring Physical Access ,PE-06.00.02.01,The organization defines the frequency to review physical access logs as monthly.
803,PE,Monitoring Physical Access ,PE-06.00.02.02,The organization defines events or potential indication of events requiring physical access logs to be reviewed as physical security incidents.
804,PE,Monitoring Physical Access ,PE-06.00.02.03,The organization reviews physical access logs monthly and upon occurrence of physical security incidents.
805,PE,Monitoring Physical Access ,PE-06.00.03.01,The organization coordinates results of reviews and investigations with Census Bureau’s incident response capability.
806,PE,Intrusion Alarms / Surveillance Equipment,PE-06.01.01.01,The organization monitors physical intrusion alarms and surveillance equipment.
807,PE,Access Records ,PE-08.00.01.01,"The organization defines the time period to maintain visitor access records to the facility where the information system resides for at least a year. 
Visitor access records must include:
1) Name and organization of person visiting
2) Signature of the visitor
3) Form of identification
4) Date of access
5) Time of entry
6) Time of departure (only applicable to areas designated to process Title 26 data)
7) Purpose of visit
8) Name and organization of person visited"
808,PE,Access Records ,PE-08.00.01.02,"The organization maintains visitor access records to the facility where the information system resides for at least a year. 
Visitor access records must include:
1) Name and organization of person visiting
2) Signature of the visitor
3) Form of identification
4) Date of access
5) Time of entry
6) Time of departure (only applicable to areas designated to process Title 26 data)
7) Purpose of visit
8) Name and organization of person visited
"
809,PE,Access Records ,PE-08.00.02.01,The organization defines the frequency to review visitor access records as at least monthly.
810,PE,Access Records ,PE-08.00.02.02,The organization reviews visitor access records at least monthly.
811,PE,Power Equipment and Power Cabling ,PE-09.00.01.01,The organization protects power equipment and power cabling for the information system from damage and destruction.
812,PE,Emergency Shutoff ,PE-10.00.01.01,The organization provides the capability of shutting off power to the information system or individual system components in emergency situations.
813,PE,Emergency Shutoff ,PE-10.00.02.01,The organization defines the location of emergency shutoff switches or devices by information system or system component as in facilities containing information system resources.
814,PE,Emergency Shutoff ,PE-10.00.02.02,The organization places emergency shutoff switches or devices in facilities containing information system resources to facilitate safe and easy access for personnel.
815,PE,Emergency Shutoff ,PE-10.00.03.01,The organization protects emergency power shutoff capability from unauthorized activation.
816,PE,Emergency Power ,PE-11.00.01.01,The organization provides a short-term uninterruptible power supply to facilitate one or more of the following in the event of a primary power source loss: an orderly shutdown of the information system.
817,PE,Emergency Lighting ,PE-12.00.01.01,The organization employs and maintains automatic emergency lighting for the information system that activates in the event of a power outage or disruption.
818,PE,Emergency Lighting ,PE-12.00.02.01,The organization employs and maintains automatic emergency lighting for the information system that covers emergency exits and evacuation routes within the facility.
819,PE,Fire Protection ,PE-13.00.01.01,The organization employs fire suppression and detection devices/systems for the information system that are supported by an independent energy source.
820,PE,Fire Protection ,PE-13.00.02.01,The organization maintains fire suppression and detection devices/systems for the information system that are supported by an independent energy source.
821,PE,Automatic Fire Suppression,PE-13.03.01.01,The organization employs an automatic fire suppression capability for the information system when the facility is not staffed on a continuous basis.
822,PE,Temperature and Humidity Controls ,PE-14.00.01.01,The organization defines acceptable temperature levels to be maintained within the facility where the information system resides at levels specified in hardware vendor documentation.
823,PE,Temperature and Humidity Controls ,PE-14.00.01.02,The organization defines acceptable humidity levels to be maintained within the facility where the information system resides at levels specified in hardware vendor documentation.
824,PE,Temperature and Humidity Controls ,PE-14.00.01.03,The organization maintains temperature levels within the facility where the information system resides at levels specified in hardware vendor documentation.
825,PE,Temperature and Humidity Controls ,PE-14.00.01.04,The organization maintains humidity levels within the facility where the information system resides at levels specified in hardware vendor documentation.
826,PE,Temperature and Humidity Controls ,PE-14.00.02.01,The organization defines the frequency to monitor temperature levels as regularly.
827,PE,Temperature and Humidity Controls ,PE-14.00.02.02,The organization defines the frequency to monitor humidity levels as regularly.
828,PE,Temperature and Humidity Controls ,PE-14.00.02.03,The organization monitors temperature levels regularly.
829,PE,Temperature and Humidity Controls ,PE-14.00.02.04,The organization monitors humidity levels regularly.
830,PE,Water Damage Protection ,PE-15.00.01.01,The organization protects the information system from damage resulting from water leakage by providing master shutoff or isolation valves that are accessible.
831,PE,Water Damage Protection ,PE-15.00.02.01,The organization protects the information system from damage resulting from water leakage by providing master shutoff or isolation valves that are working properly.
832,PE,Water Damage Protection ,PE-15.00.03.01,The organization protects the information system from damage resulting from water leakage by providing master shutoff or isolation valves that are known to key personnel.
833,PE,Delivery and Removal ,PE-16.00.01.01,"The organization defines types of information system components to be authorized, monitored, and controlled as such components are entering and exiting the facility as information system hardware that is considered accountable property."
834,PE,Delivery and Removal ,PE-16.00.02.01,The organization authorizes information system hardware that is considered accountable property entering the facility.
835,PE,Delivery and Removal ,PE-16.00.03.01,The organization monitors information system hardware that is considered accountable property entering the facility.
836,PE,Delivery and Removal ,PE-16.00.04.01,The organization controls information system hardware that is considered accountable property entering the facility.
837,PE,Delivery and Removal ,PE-16.00.05.01,The organization authorizes information system hardware that is considered accountable property exiting the facility.
838,PE,Delivery and Removal ,PE-16.00.06.01,The organization monitors information system hardware that is considered accountable property exiting the facility.
839,PE,Delivery and Removal ,PE-16.00.07.01,The organization controls information system hardware that is considered accountable property exiting the facility.
840,PE,Delivery and Removal ,PE-16.00.08.01,The organization maintains records of information system components entering the facility.
841,PE,Delivery and Removal ,PE-16.00.09.01,The organization maintains records of information system components exiting the facility.
842,PE,Alternate Work Site,PE-17.00.01.01,The organization defines security controls to be employed at alternate work sites according to the Census Bureau telework policy.
843,PE,Alternate Work Site,PE-17.00.01.02,The organization employs security controls according to Census Bureau telework policy at alternate work sites.
844,PE,Alternate Work Site,PE-17.00.02.01,"The organization assesses, as feasible, the effectiveness of security controls at alternate work sites."
845,PE,Alternate Work Site,PE-17.00.03.01,The organization provides a means for employees to communicate with information security personnel in case of security incidents or problems.
846,PL,Security Planning Policy and Procedures ,PL-01.00.01.01,"The organization develops and documents a planning policy that addresses:
1) purpose.
2) scope.
3) roles 
4) responsibilities.
5) management commitment.
6) coordination among organizational entities.
7) compliance."
847,PL,Security Planning Policy and Procedures ,PL-01.00.01.02,The organization defines personnel or roles to whom the planning policy is to be disseminated as Program Offices/System Owners.
848,PL,Security Planning Policy and Procedures ,PL-01.00.01.03,The organization disseminates the planning policy to organization-defined personnel or roles to Program Offices/System Owners.
849,PL,Security Planning Policy and Procedures ,PL-01.00.02.01,The organization develops and documents procedures to facilitate the implementation of the planning policy and associated planning controls.
850,PL,Security Planning Policy and Procedures ,PL-01.00.02.02,The organization defines personnel or roles to whom the procedures are to be disseminated as Program Offices/System Owners.
851,PL,Security Planning Policy and Procedures ,PL-01.00.02.03,The organization disseminates the procedures to Program Offices/System Owners.
852,PL,Security Planning Policy and Procedures ,PL-01.00.03.01,"The organization defines the frequency to review and update the current planning policy at least annually and as needed, respectively."
853,PL,Security Planning Policy and Procedures ,PL-01.00.03.02,"The organization reviews and updates the current planning policy at least annually and as needed, respectively."
854,PL,Security Planning Policy and Procedures ,PL-01.00.04.01,"The organization defines the frequency to review and update the current planning procedures at least annually and as needed, respectively."
855,PL,Security Planning Policy and Procedures ,PL-01.00.04.02,"The organization reviews and updates the current planning procedures at least annually and as needed, respectively."
856,PL,System Security Plan ,PL-02.00.01.01,The organization develops a security plan for the information system that is consistent with the organization’s enterprise architecture.
857,PL,System Security Plan ,PL-02.00.01.02,The organization develops a security plan for the information system that explicitly defines the authorization boundary for the system.
858,PL,System Security Plan ,PL-02.00.01.03,The organization develops a security plan for the information system that describes the operational context of the information system in terms of missions and business processes.
859,PL,System Security Plan ,PL-02.00.01.04,The organization develops a security plan for the information system that provides the security categorization of the information system including supporting rationale.
860,PL,System Security Plan ,PL-02.00.01.05,The organization develops a security plan for the information system that describes the operational environment for the information system and relationships with or connections to other information systems.
861,PL,System Security Plan ,PL-02.00.01.06,The organization develops a security plan for the information system that provides an overview of the security requirements for the system.
862,PL,System Security Plan ,PL-02.00.01.07,"The organization develops a security plan for the information system that identifies any relevant overlays, if applicable."
863,PL,System Security Plan ,PL-02.00.01.08,The organization develops a security plan for the information system that describes the security controls in place or planned for meeting those requirements including a rationale for the tailoring and supplemental decisions.
864,PL,System Security Plan ,PL-02.00.01.09,The organization develops a security plan for the information system that is reviewed and approved by the authorizing official or designated representative prior to plan implementation.
865,PL,System Security Plan ,PL-02.00.02.01,The organization defines personnel or roles to whom copies of the security plan are to be distributed and subsequent changes to the plan are to be communicated as Authorizing Official or designated representative.
866,PL,System Security Plan ,PL-02.00.02.02,The organization distributes copies of the security plan and communicates subsequent changes to the plan to Authorizing Official or designated representative.
867,PL,System Security Plan ,PL-02.00.03.01,The organization defines the frequency of security plan reviews as at least every other year or upon significant system change.
868,PL,System Security Plan ,PL-02.00.03.02,The organization reviews the security plan for the information system at least every other year or upon significant system change.
869,PL,System Security Plan ,PL-02.00.04.01,The organization updates the plan to address changes to the information system/environment of operation.
870,PL,System Security Plan ,PL-02.00.04.02,The organization updates the plan to address problems identified during plan implementation.
871,PL,System Security Plan ,PL-02.00.04.03,The organization updates the plan to address problems identified during security control assessments.
872,PL,System Security Plan ,PL-02.00.05.01,The organization protects the security plan from unauthorized disclosure.
873,PL,System Security Plan ,PL-02.00.05.02,The organization protects the security plan from unauthorized modification.
874,PL,Plan / Coordinate with Other Organizational Entities,PL-02.03.01.01,The organization defines individuals or groups with whom security-related activities affecting the information system are to be planned and coordinated before conducting such activities in order to reduce the impact on other organizational entities as Program Offices/System Owners.
875,PL,Plan / Coordinate with Other Organizational Entities,PL-02.03.02.01,The organization plans and coordinates security-related activities affecting the information system with Program Offices/System Owners before conducting such activities in order to reduce the impact on other organizational entities.
876,PL,Rules of Behavior ,PL-04.00.01.01,"The organization establishes, for individuals requiring access to the information system, the rules that describe their responsibilities and expected behavior with regard to information and information system usage."
877,PL,Rules of Behavior ,PL-04.00.01.02,"The organization makes readily available to individuals requiring access to the information system, the rules that describe their responsibilities and expected behavior with regard to information and information system usage."
878,PL,Rules of Behavior ,PL-04.00.02.01,"The organization receives a signed acknowledgement from such individuals, indicating that they have read, understand, and agree to abide by the rules of behavior, before authorizing access to information and the information system."
879,PL,Rules of Behavior ,PL-04.00.03.01,The organization defines the frequency to review and update the rules of behavior as annually.
880,PL,Rules of Behavior ,PL-04.00.03.02,The organization reviews and updates the rules of behavior annually.
881,PL,Rules of Behavior ,PL-04.00.04.01,The organization requires individuals who have signed a previous version of the rules of behavior to read and resign when the rules of behavior are revised/updated.
882,PL,Social Media and Networking Restrictions,PL-04.01.01.01,The organization includes the following in the rules of behavior: explicit restrictions on the use of social media/networking sites.
883,PL,Social Media and Networking Restrictions,PL-04.01.02.01,The organization includes the following in the rules of behavior: posting organizational information on public websites.
884,PL,Information Security Architecture,PL-08.00.01.01,"The organization develops an information security architecture for the information system that describes the overall philosophy, requirements, and approach to be taken with regard to protecting the confidentiality, integrity, and availability of organizational information."
885,PL,Information Security Architecture,PL-08.00.01.02,The organization develops an information security architecture for the information system that describes how the information security architecture is integrated into and supports the enterprise architecture.
886,PL,Information Security Architecture,PL-08.00.01.03,"The organization develops an information security architecture for the information system that describes any information security assumptions about, and dependencies on, external services."
887,PL,Information Security Architecture,PL-08.00.02.01,The organization defines the frequency to review and update the information security architecture as at least annually.
888,PL,Information Security Architecture,PL-08.00.02.02,The organization reviews and updates the information security architecture at least annually to reflect updates in the enterprise architecture.
889,PL,Information Security Architecture,PL-08.00.03.01,The organization ensures that planned information security architecture changes are reflected in the security plan.
890,PL,Information Security Architecture,PL-08.00.03.02,The organization ensures that planned information security architecture changes are reflected in the security Concept of Operations (CONOPS).
891,PL,Information Security Architecture,PL-08.00.03.03,The organization ensures that planned information security architecture changes are reflected in the organizational procurements/acquisitions.
892,PM,Information Security Program Plan,PM-01.00.01.01,"The organization develops and disseminates an organization-wide information security program plan that:
1) provides an overview of the requirements for the security program. 
2) provides a description of the:
   a) security program management controls in place or planned for meeting those requirements
   b) common controls in place or planned for meeting those requirements"
893,PM,Information Security Program Plan,PM-01.00.01.02,"The organization develops and disseminates an organization-wide information security program plan that includes the identification and assignment of:
1) roles
2) responsibilities
3) management commitment
4) coordination among organizational entities
5) compliance"
894,PM,Information Security Program Plan,PM-01.00.01.03,"The organization develops and disseminates an organization-wide information security program plan that reflects coordination among organizational entities responsible for the different aspects of information security (i.e., technical, physical, personnel, cyber-physical). "
895,PM,Information Security Program Plan,PM-01.00.01.04,"The organization develops and disseminates an organization-wide information security program plan that is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations, organizational assets, individuals, other organizations, and the Nation."
896,PM,Information Security Program Plan,PM-01.00.02.01,The organization defines the frequency to review the security program plan for the information system as at least every other year. 
897,PM,Information Security Program Plan,PM-01.00.02.02,The organization reviews the organization-wide information security program plan at least every other year. 
898,PM,Information Security Program Plan,PM-01.00.03.01,The organization updates the plan to address organizational changes identified during plan implementation. 
899,PM,Information Security Program Plan,PM-01.00.03.02,The organization updates the plan to address organizational changes identified during security control assessments.
900,PM,Information Security Program Plan,PM-01.00.03.03,The organization updates the plan to address organizational problems identified during plan implementation.
901,PM,Information Security Program Plan,PM-01.00.03.04,The organization updates the plan to address organizational problems identified during security control assessments.
902,PM,Information Security Program Plan,PM-01.00.04.01,The organization protects the information security program plan from unauthorized disclosure.
903,PM,Information Security Program Plan,PM-01.00.04.02,The organization protects the information security program plan from unauthorized modification.
904,PM,Senior Information Security Officer,PM-02.00.01.01,The Office of Information Security appoints a senior information security officer with the mission and resources to coordinate an organization-wide information security program.
905,PM,Senior Information Security Officer,PM-02.00.02.01,The Office of Information Security appoints a senior information security officer with the mission and resources to develop an organization-wide information security program.
906,PM,Senior Information Security Officer,PM-02.00.03.01,The Office of Information Security appoints a senior information security officer with the mission and resources to implement an organization-wide information security program.
907,PM,Senior Information Security Officer,PM-02.00.04.01,The Office of Information Security appoints a senior information security officer with the mission and resources to maintain an organization-wide information security program.
908,PM,Information Security Resources,PM-03.00.01.01,The organization ensures that all capital planning and investment requests include the resources needed to implement the information security program plan.
909,PM,Information Security Resources,PM-03.00.01.02,The organization documents all exceptions to the requirement. 
910,PM,Information Security Resources,PM-03.00.02.01,The organization employs a business case/Exhibit 300/Exhibit 53 to record the resources required.
911,PM,Information Security Resources,PM-03.00.03.01,The organization ensures that information security resources are available for expenditure as planned. 
912,PM,Plan of Actions and Milestones Progress,PM-04.00.01.01,"The organization implements a process for ensuring that plans of action and milestones for the security program and associated organizational information systems:
1) are developed
2) are maintained"
913,PM,Plan of Actions and Milestones Progress,PM-04.00.01.02,"The organization implements a process for ensuring that plans of action and milestones for the security program and associated organizational information systems document the remedial information security actions to adequately respond to risk to organizational operations and assets, individuals, other organizations, and the Nation. "
